EnsemblID	gene_name	logFC	logCPM	PValue	FDR	F	gene_biotype	GroupA_AvgCPM	GroupB_AvgCPM	GroupA_stdv	GroupB_stdv	log10FDR	alias	mygene_name	summary
	ST6GALNAC3	1.13605	-1.32293				protein_coding								
	AHNAK2	1.13605	-1.32293				protein_coding								
	CLEC17A	1.13605	-1.32293				protein_coding								
	LDLRAD2	1.13605	-1.32293				protein_coding								
	STKLD1	1.13605	-1.32293				protein_coding								
	Y_RNA	1.13605	-1.32293				misc_RNA								
	RPL26L1-AS1	1.13605	-1.32293				lncRNA								
	SNORA2A	1.13605	-1.32293				snoRNA								
	SNORA80B	1.13605	-1.32293				snoRNA								
	SNORA5A	1.13605	-1.32293				snoRNA								
	Y_RNA	1.13605	-1.32293				misc_RNA								
	RNU6-878P	1.13605	-1.32293				snRNA								
	Y_RNA	1.13605	-1.32293				misc_RNA								
	MIR659	1.13605	-1.32293				miRNA								
	TFB2MP1	1.13605	-1.32293				processed_pseudogene								
	SNORA79	1.13605	-1.32293				snoRNA								
	TMEM72-AS1	1.13605	-1.32293				lncRNA								
	RPF2P1	1.13605	-1.32293				processed_pseudogene								
	ENSG00000226965	1.13605	-1.32293				lncRNA								
	RPL7AP22	1.13605	-1.32293				processed_pseudogene								
	HPN-AS1	1.13605	-1.32293				lncRNA								
	STK4-DT	1.13605	-1.32293				lncRNA								
	MYCBP2-AS2	1.13605	-1.32293				lncRNA								
	OGFR-AS1	1.13605	-1.32293				lncRNA								
	LINC00486	1.13605	-1.32293				lncRNA								
	APCDD1L-DT	1.13605	-1.32293				lncRNA								
	IFT74-AS1	1.13605	-1.32293				lncRNA								
	RBMS3-AS3	1.13605	-1.32293				lncRNA								
	ENSG00000236308	1.13605	-1.32293				lncRNA								
	LINC01424	1.13605	-1.32293				lncRNA								
	TENT5C-DT	1.13605	-1.32293				lncRNA								
	CD81-AS1	1.13605	-1.32293				lncRNA								
	RN7SL608P	1.13605	-1.32293				misc_RNA								
	ENSG00000244151	1.13605	-1.32293				lncRNA								
	LINC02709	1.13605	-1.32293				lncRNA								
	ENSG00000245768	1.13605	-1.32293				lncRNA								
	CASC8	1.13605	-1.32293				lncRNA								
	ENSG00000250764	1.13605	-1.32293				lncRNA								
	SLC25A30-AS1	1.13605	-1.32293				lncRNA								
	ARPC1AP4	1.13605	-1.32293				processed_pseudogene								
	RNU6-941P	1.13605	-1.32293				snRNA								
	LINC01605	1.13605	-1.32293				lncRNA								
	ENSG00000254649	1.13605	-1.32293				lncRNA								
	BLTP3B-DT	1.13605	-1.32293				lncRNA								
	SLC38A2-AS1	1.13605	-1.32293				lncRNA								
